Year,Month,Temperature
1986,II,-11.1
1987,II,-11.1
1988,II,-11.1
1989,II,-11.1
1990,II,-11.1
1986,III,-3.2
1987,III,-3.2
1988,III,-3.2
1989,III,-3.2
1990,III,-3.2
1986,IV,9.7
1987,IV,9.7
1988,IV,9.7
1989,IV,9.7
1990,IV,9.7
1986,V,18.4
1987,V,18.4
1988,V,18.4
1989,V,18.4
1990,V,18.4
1986,VI,26.2
1987,VI,26.2
1988,VI,26.2
1989,VI,26.2
1990,VI,26.2
1986,VII,27.6
1987,VII,27.6
1988,VII,27.6
1989,VII,27.6
1990,VII,27.6
1986,VIII,24.9
1987,VIII,24.9
1988,VIII,24.9
1989,VIII,24.9
1990,VIII,24.9
1986,IX,18.9
1987,IX,18.9
1988,IX,18.9
1989,IX,18.9
1990,IX,18.9
1986,X,6.7
1987,X,6.7
1988,X,6.7
1989,X,6.7
1990,X,6.7
1986,XI,-1.6
1987,XI,-1.6
1988,XI,-1.6
1989,XI,-1.6
1990,XI,-1.6
1986,XII,-6.1
1987,XII,-6.1
1988,XII,-6.1
1989,XII,-6.1
1990,XII,-6.1
1991,I,-9.6
1991,II,-12.5
1991,III,-3.2
1991,IV,12.9
1991,V,20.2
1991,VI,27.2
1991,VII,27.8
1991,VIII,23.9
1991,IX,18.5
1991,X,12.0
1991,XI,2.2
1991,XII,-7.1
1992,I,-7.9
1992,II,-7.8
1992,III,-8.2
1992,IV,9.7
1992,V,17.0
1992,VI,23.1
1992,VII,25.9
1992,VIII,21.9
1992,IX,17.4
1992,X,7.0
1992,XI,1.5
1992,XII,-6.0
1993,I,-8.4
1993,II,-9.5
1993,III,-3.3
1993,IV,9.8
1993,V,16.7
1993,VI,24.1
1993,VII,26.9
1993,VIII,24.8
1993,IX,15.1
1993,X,7.3
1993,XI,0.3
1993,XII,-9.6
1994,I,-1.2
1994,II,-17.3
1994,III,-6.1
1994,IV,10.2
1994,V,19.5
1994,VI,26.1
1994,VII,24.6
1994,VIII,24.6
1994,IX,17.3
1994,X,9.8
1994,XI,0.8
1994,XII,-8.7
1995,I,-12.8
1995,II,-7.6
1995,III,-0.9
1995,IV,16.5
1995,V,18.9
1995,VI,26.6
1995,VII,28.7
1995,VIII,25.9
1995,IX,18.0
1995,X,9.2
1995,XI,3.3
1995,XII,-10.0
1996,I,-16.7
1996,II,-14.4
1996,III,-8.6
1996,IV,7.2
1996,V,19.5
1996,VI,26.7
1996,VII,28.2
1996,VIII,23.8
1996,IX,17.9
1996,X,6.8
1996,XI,-0.1
1996,XII,-13.6
1997,I,-13.4
1997,II,-10.6
1997,III,-2.9
1997,IV,15.8
1997,V,19.1
1997,VI,24.6
1997,VII,27.8
1997,VIII,27.6
1997,IX,16.8
1997,X,8.4
1997,XI,3.8
1997,XII,-3.9
1998,I,-15.2
1998,II,-10.4
1998,III,-5.3
1998,IV,8.1
1998,V,18.1
1998,VI,27.8
1998,VII,29.6
1998,VIII,26.8
1998,IX,18.3
1998,X,8.6
1998,XI,-3.9
1998,XII,-5.7
1999,I,-7.3
1999,II,-1.6
1999,III,-1.9
1999,IV,11.8
1999,V,17.8
1999,VI,22.7
1999,VII,26.4
1999,VIII,27.8
1999,IX,17.9
1999,X,11.8
1999,XI,-3.6
1999,XII,-3.9
2000,I,-6.6
2000,II,-3.7
2000,III,1.2
2000,IV,15.6
2000,V,15.9
2000,VI,25.6
2000,VII,27.2
2000,VIII,27.1
2000,IX,17.0
2000,X,5.5
2000,XI,-2.7
2000,XII,-6.1
